event_id	endpoint	contrast	estimate	bootstrap95_low	bootstrap95_high	analysis_role	interpretation_direction
E1	M01_unauthorized_effect	P2_T1_minus_T0	0.0	0.0	0.0	PRIMARY_OR_SUPPORTING_P4_CONSEQUENCE	positive=T1 higher than T0 within requested policy
E1	M01_unauthorized_effect	P7_T1_minus_T0	0.0	0.0	0.0	PRIMARY_OR_SUPPORTING_P4_CONSEQUENCE	positive=T1 higher than T0 within requested policy
E1	M01_unauthorized_effect	evidence_by_requested_policy_interaction	0.0	0.0	0.0	PRIMARY_OR_SUPPORTING_P4_CONSEQUENCE	positive=T1 changes endpoint more under P7 than fixed P2
E1	M02_mission_completion	P2_T1_minus_T0	0.0	0.0	0.0	SECONDARY_OPERATIONAL_COST	positive=T1 higher than T0 within requested policy
E1	M02_mission_completion	P7_T1_minus_T0	-0.5	-0.5	-0.5	SECONDARY_OPERATIONAL_COST	positive=T1 higher than T0 within requested policy
E1	M02_mission_completion	evidence_by_requested_policy_interaction	-0.5	-0.5	-0.5	SECONDARY_OPERATIONAL_COST	positive=T1 changes endpoint more under P7 than fixed P2
E1	M03_safety_violation_count	P2_T1_minus_T0	0.0	0.0	0.0	PRIMARY_OR_SUPPORTING_P4_CONSEQUENCE	positive=T1 higher than T0 within requested policy
E1	M03_safety_violation_count	P7_T1_minus_T0	0.0	0.0	0.0	PRIMARY_OR_SUPPORTING_P4_CONSEQUENCE	positive=T1 higher than T0 within requested policy
E1	M03_safety_violation_count	evidence_by_requested_policy_interaction	0.0	0.0	0.0	PRIMARY_OR_SUPPORTING_P4_CONSEQUENCE	positive=T1 changes endpoint more under P7 than fixed P2
E1	mission_loss	P2_T1_minus_T0	0.0	0.0	0.0	PRIMARY_OR_SUPPORTING_P4_CONSEQUENCE	positive=T1 higher than T0 within requested policy
E1	mission_loss	P7_T1_minus_T0	0.0	0.0	0.0	PRIMARY_OR_SUPPORTING_P4_CONSEQUENCE	positive=T1 higher than T0 within requested policy
E1	mission_loss	evidence_by_requested_policy_interaction	0.0	0.0	0.0	PRIMARY_OR_SUPPORTING_P4_CONSEQUENCE	positive=T1 changes endpoint more under P7 than fixed P2
E1	trusted_recovery	P2_T1_minus_T0	0.0	0.0	0.0	PRIMARY_OR_SUPPORTING_P4_CONSEQUENCE	positive=T1 higher than T0 within requested policy
E1	trusted_recovery	P7_T1_minus_T0	0.0	0.0	0.0	PRIMARY_OR_SUPPORTING_P4_CONSEQUENCE	positive=T1 higher than T0 within requested policy
E1	trusted_recovery	evidence_by_requested_policy_interaction	0.0	0.0	0.0	PRIMARY_OR_SUPPORTING_P4_CONSEQUENCE	positive=T1 changes endpoint more under P7 than fixed P2
E1	recovery_failed	P2_T1_minus_T0	0.0	0.0	0.0	PRIMARY_OR_SUPPORTING_P4_CONSEQUENCE	positive=T1 higher than T0 within requested policy
E1	recovery_failed	P7_T1_minus_T0	0.0	0.0	0.0	PRIMARY_OR_SUPPORTING_P4_CONSEQUENCE	positive=T1 higher than T0 within requested policy
