analysis	full_30_seed_estimate	final_commit_complete_block_seed_count	final_commit_estimate	absolute_difference	direction_consistent
E1.action_switch.P7_minus_P2	1.0	29	1.0	0.0	true
E1.effective_switch.P7_minus_P2	1.0	29	1.0	0.0	true
E1.M01_unauthorized_effect.interaction	0.0	29	0.0	0.0	true
E1.M02_mission_completion.interaction	-0.5	29	-0.5	0.0	true
E1.M03_safety_violation_count.interaction	0.0	29	0.0	0.0	true
E1.mission_loss.interaction	0.0	29	0.0	0.0	true
E1.trusted_recovery.interaction	0.0	29	0.0	0.0	true
E1.recovery_failed.interaction	0.0	29	0.0	0.0	true
E1.operational_unverified.interaction	-1.0	29	-1.0	0.0	true
E1.M06_legitimate_rejection_rate.interaction	1.0	29	1.0	0.0	true
E3.action_switch.P7_minus_P2	1.0	29	1.0	0.0	true
E3.effective_switch.P7_minus_P2	1.0	29	1.0	0.0	true
E3.M01_unauthorized_effect.interaction	0.0	29	0.0	0.0	true
E3.M02_mission_completion.interaction	-0.5	29	-0.5	0.0	true
E3.M03_safety_violation_count.interaction	0.0	29	0.0	0.0	true
E3.mission_loss.interaction	0.0	29	0.0	0.0	true
E3.trusted_recovery.interaction	-1.0	29	-1.0	0.0	true
E3.recovery_failed.interaction	1.0	29	1.0	0.0	true
E3.operational_unverified.interaction	0.0	29	0.0	0.0	true
E3.M06_legitimate_rejection_rate.interaction	0.0	29	0.0	0.0	true
