group_id	cell_id	requested_policy_id	effective_policy_id	n	M01	M02	M03	M05_RMST_tau30	M05_observed	M05_censored	M06
G01	A01	P1	P1	30	1.0	0.5	0.0	30.0	0	30	0.0
G01	A02	P7	P1	30	1.0	0.5	0.0	30.0	0	30	0.0
G02	A03	P1	P1	30	1.0	0.5	0.0	30.0	0	30	0.0
G02	A04	P7	P2	30	1.0	0.5	0.0	30.0	0	30	0.0
G02	A07	P2	P2	30	1.0	0.5	0.0	30.0	0	30	0.0
G03	A05	P1	P1	30	1.0	0.5	0.0	30.0	0	30	0.0
G03	A06	P7	P2	30	1.0	0.5	0.0	30.0	0	30	0.0
G04	A08	P2	P2	30	1.0	0.5	0.0	30.0	0	30	0.0
G04	A09	P7	P4	30	1.0	0.0	0.0	30.0	0	30	1.0
G05	A10	P2	P2	30	1.0	0.5	0.0	30.0	0	30	0.0
G05	A11	P7	P5	30	1.0	1.0	0.0	3.9819393338666678	30	0	0.0
G05	A14	P5	P5	30	1.0	1.0	0.0	3.8009359909666665	30	0	0.0
G05	A16	P6	P6	30	1.0	1.0	0.0	4.260671600966668	30	0	0.0
G06	A12	P2	P2	30	1.0	0.5	0.0	30.0	0	30	0.0
G06	A13	P7	P2	30	1.0	0.5	0.0	30.0	0	30	0.0
G06	A15	P5	P5	30	1.0	1.0	0.0	3.7680987048	30	0	0.0
G07	A17	P6	P6	30	1.0	1.0	0.0	14.685318538466666	30	0	0.0
G07	A18	P7	P5	30	1.0	1.0	0.0	3.801167331233334	30	0	0.0
G08	A19	P0	P0	30	1.0	0.5	0.0	30.0	0	30	0.0
G08	A20	P1	P1	30	0.0	1.0	0.0	30.0	0	30	0.0
G08	A21	P7	P1	30	0.0	1.0	0.0	30.0	0	30	0.0
G09	A22	P0	P0	30	1.0	0.5	0.0	30.0	0	30	0.0
G09	A23	P4	P4	30	1.0	0.5	0.0	30.0	0	30	1.0
G09	A24	P7	P4	30	1.0	0.5	0.0	30.0	0	30	1.0
