group_id	P7_cell	comparator_cell	metric	P7_benefit_estimate	bootstrap95_low	bootstrap95_high	point_estimate_relation	bootstrap_unit
G01	A02	A01	M01	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G01	A02	A01	M02	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G01	A02	A01	M03	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G01	A02	A01	M05	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G01	A02	A01	M06	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G02	A04	A03	M01	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G02	A04	A03	M02	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G02	A04	A03	M03	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G02	A04	A03	M05	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G02	A04	A03	M06	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G02	A04	A07	M01	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G02	A04	A07	M02	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G02	A04	A07	M03	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G02	A04	A07	M05	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G02	A04	A07	M06	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G03	A06	A05	M01	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G03	A06	A05	M02	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G03	A06	A05	M03	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G03	A06	A05	M05	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G03	A06	A05	M06	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G04	A09	A08	M01	0.0	0.0	0.0	P7_EMPIRICALLY_DOMINATED	campaign_seed
G04	A09	A08	M02	-0.5	-0.5	-0.5	P7_EMPIRICALLY_DOMINATED	campaign_seed
G04	A09	A08	M03	0.0	0.0	0.0	P7_EMPIRICALLY_DOMINATED	campaign_seed
G04	A09	A08	M05	0.0	0.0	0.0	P7_EMPIRICALLY_DOMINATED	campaign_seed
G04	A09	A08	M06	-1.0	-1.0	-1.0	P7_EMPIRICALLY_DOMINATED	campaign_seed
G05	A11	A10	M01	0.0	0.0	0.0	P7_EMPIRICALLY_DOMINATES	campaign_seed
G05	A11	A10	M02	0.5	0.5	0.5	P7_EMPIRICALLY_DOMINATES	campaign_seed
G05	A11	A10	M03	0.0	0.0	0.0	P7_EMPIRICALLY_DOMINATES	campaign_seed
G05	A11	A10	M05	26.018060666133334	25.435141567033334	26.536197556893335	P7_EMPIRICALLY_DOMINATES	campaign_seed
G05	A11	A10	M06	0.0	0.0	0.0	P7_EMPIRICALLY_DOMINATES	campaign_seed
G05	A11	A14	M01	0.0	0.0	0.0	P7_EMPIRICALLY_DOMINATED	campaign_seed
G05	A11	A14	M02	0.0	0.0	0.0	P7_EMPIRICALLY_DOMINATED	campaign_seed
G05	A11	A14	M03	0.0	0.0	0.0	P7_EMPIRICALLY_DOMINATED	campaign_seed
G05	A11	A14	M05	-0.1810033429000013	-0.765083461370833	0.27834339120000057	P7_EMPIRICALLY_DOMINATED	campaign_seed
G05	A11	A14	M06	0.0	0.0	0.0	P7_EMPIRICALLY_DOMINATED	campaign_seed
G05	A11	A16	M01	0.0	0.0	0.0	P7_EMPIRICALLY_DOMINATES	campaign_seed
G05	A11	A16	M02	0.0	0.0	0.0	P7_EMPIRICALLY_DOMINATES	campaign_seed
G05	A11	A16	M03	0.0	0.0	0.0	P7_EMPIRICALLY_DOMINATES	campaign_seed
G05	A11	A16	M05	0.2787322671000001	-0.3252626268808329	0.8213008571691655	P7_EMPIRICALLY_DOMINATES	campaign_seed
G05	A11	A16	M06	0.0	0.0	0.0	P7_EMPIRICALLY_DOMINATES	campaign_seed
G06	A13	A12	M01	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G06	A13	A12	M02	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G06	A13	A12	M03	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G06	A13	A12	M05	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G06	A13	A12	M06	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G06	A13	A15	M01	0.0	0.0	0.0	P7_EMPIRICALLY_DOMINATED	campaign_seed
G06	A13	A15	M02	-0.5	-0.5	-0.5	P7_EMPIRICALLY_DOMINATED	campaign_seed
G06	A13	A15	M03	0.0	0.0	0.0	P7_EMPIRICALLY_DOMINATED	campaign_seed
G06	A13	A15	M05	-26.2319012952	-26.621151655878332	-25.729685647332502	P7_EMPIRICALLY_DOMINATED	campaign_seed
G06	A13	A15	M06	0.0	0.0	0.0	P7_EMPIRICALLY_DOMINATED	campaign_seed
G07	A18	A17	M01	0.0	0.0	0.0	P7_EMPIRICALLY_DOMINATES	campaign_seed
G07	A18	A17	M02	0.0	0.0	0.0	P7_EMPIRICALLY_DOMINATES	campaign_seed
G07	A18	A17	M03	0.0	0.0	0.0	P7_EMPIRICALLY_DOMINATES	campaign_seed
G07	A18	A17	M05	10.884151207233332	10.031361800124165	11.973443604585833	P7_EMPIRICALLY_DOMINATES	campaign_seed
G07	A18	A17	M06	0.0	0.0	0.0	P7_EMPIRICALLY_DOMINATES	campaign_seed
G08	A21	A19	M01	1.0	1.0	1.0	P7_EMPIRICALLY_DOMINATES	campaign_seed
G08	A21	A19	M02	0.5	0.5	0.5	P7_EMPIRICALLY_DOMINATES	campaign_seed
G08	A21	A19	M03	0.0	0.0	0.0	P7_EMPIRICALLY_DOMINATES	campaign_seed
G08	A21	A19	M05	0.0	0.0	0.0	P7_EMPIRICALLY_DOMINATES	campaign_seed
G08	A21	A19	M06	0.0	0.0	0.0	P7_EMPIRICALLY_DOMINATES	campaign_seed
G08	A21	A20	M01	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G08	A21	A20	M02	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G08	A21	A20	M03	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G08	A21	A20	M05	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G08	A21	A20	M06	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G09	A24	A22	M01	0.0	0.0	0.0	P7_EMPIRICALLY_DOMINATED	campaign_seed
G09	A24	A22	M02	0.0	0.0	0.0	P7_EMPIRICALLY_DOMINATED	campaign_seed
G09	A24	A22	M03	0.0	0.0	0.0	P7_EMPIRICALLY_DOMINATED	campaign_seed
G09	A24	A22	M05	0.0	0.0	0.0	P7_EMPIRICALLY_DOMINATED	campaign_seed
G09	A24	A22	M06	-1.0	-1.0	-1.0	P7_EMPIRICALLY_DOMINATED	campaign_seed
G09	A24	A23	M01	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G09	A24	A23	M02	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G09	A24	A23	M03	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G09	A24	A23	M05	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
G09	A24	A23	M06	0.0	0.0	0.0	EMPIRICAL_TIE	campaign_seed
