group_id	P7_cell	comparator_cell	point_estimate_relation	marginal_bootstrap_CI_relation	simultaneous_confidence_claim
G01	A02	A01	EMPIRICAL_TIE	UNCERTAIN_OR_TIED_UNDER_MARGINAL_CIS	false
G02	A04	A03	EMPIRICAL_TIE	UNCERTAIN_OR_TIED_UNDER_MARGINAL_CIS	false
G02	A04	A07	EMPIRICAL_TIE	UNCERTAIN_OR_TIED_UNDER_MARGINAL_CIS	false
G03	A06	A05	EMPIRICAL_TIE	UNCERTAIN_OR_TIED_UNDER_MARGINAL_CIS	false
G04	A09	A08	P7_EMPIRICALLY_DOMINATED	MARGINAL_CI_SUPPORTS_COMPARATOR_DOMINANCE	false
G05	A11	A10	P7_EMPIRICALLY_DOMINATES	MARGINAL_CI_SUPPORTS_P7_DOMINANCE	false
G05	A11	A14	P7_EMPIRICALLY_DOMINATED	UNCERTAIN_OR_TIED_UNDER_MARGINAL_CIS	false
G05	A11	A16	P7_EMPIRICALLY_DOMINATES	UNCERTAIN_OR_TIED_UNDER_MARGINAL_CIS	false
G06	A13	A12	EMPIRICAL_TIE	UNCERTAIN_OR_TIED_UNDER_MARGINAL_CIS	false
G06	A13	A15	P7_EMPIRICALLY_DOMINATED	MARGINAL_CI_SUPPORTS_COMPARATOR_DOMINANCE	false
G07	A18	A17	P7_EMPIRICALLY_DOMINATES	MARGINAL_CI_SUPPORTS_P7_DOMINANCE	false
G08	A21	A19	P7_EMPIRICALLY_DOMINATES	MARGINAL_CI_SUPPORTS_P7_DOMINANCE	false
G08	A21	A20	EMPIRICAL_TIE	UNCERTAIN_OR_TIED_UNDER_MARGINAL_CIS	false
G09	A24	A22	P7_EMPIRICALLY_DOMINATED	MARGINAL_CI_SUPPORTS_COMPARATOR_DOMINANCE	false
G09	A24	A23	EMPIRICAL_TIE	UNCERTAIN_OR_TIED_UNDER_MARGINAL_CIS	false
