global_position	campaign_seed	cell_id	cell_order_index	run_id	event_id	mission_state_id	contact_condition_id	evidence_condition_id	requested_policy_id	effective_policy_id	p6_to_p5_delegation	P1_block	P2_block	P3_block	P4_block	pareto_group	M01_unauthorized_effect_completed	M02_mission_objective_completion_ratio	M03_safety_invariant_violation_count	M04_containment_event	M04_containment_analysis_time_s	M05_verified_recovery_event	M05_verified_recovery_analysis_time_s	M06_legitimate_commands_rejected	M06_legitimate_commands_attempted	M06_legitimate_command_rejection_rate	M07_ground_spacecraft_state_divergence_s	M08_available_current_count	M08_applicable_evidence_count	M08_evidence_completeness_ratio	terminal_state
1	10001	A19	1	20260824T145723Z-wp9-r066-p0001-s10001-a19-69fe370fe1d249e68ebf05671a630b9d	E2	M0	C0	T0	P0	P0	false	false	false	false	false	G08	true	0.5	0	0	30.0	0	30.0	0	1	0.0	28.281255168	5	5	1.0	RECOVERY_FAILED
2	10001	A13	2	20260824T201447Z-wp9-r069-p0002-retry-s10001-a13-74a114cae70a4eccbf3350ea22d1690f	E3	M4	C0	T1	P7	P2	false	false	false	true	true	G06	true	0.5	0	0	30.0	0	30.0	0	1	0.0	29.861743162	10	10	1.0	RECOVERY_FAILED
3	10001	A22	3	20260824T202615Z-wp9-r069-p0003-s10001-a22-8e5f440877a44d8e84e42eecc70f259c	E4	M2	C0	T0	P0	P0	false	false	false	false	false	G09	true	0.5	0	0	30.0	0	30.0	0	1	0.0	0.0	2	3	0.6666666666666666	RECOVERY_FAILED
4	10001	A11	4	20260824T212248Z-wp9-r069-p0004-s10001-a11-88aa12dfd60a4d5483907b1dfd86b410	E3	M4	C0	T0	P7	P5	false	false	true	true	true	G05	true	1.0	0	1	0.851589178	1	2.84940271	0	1	0.0	0.709829017	10	10	1.0	TRUSTED_RECOVERY_CONFIRMED
5	10001	A18	5	20260825T015715Z-wp9-r069-p0005-s10001-a18-69ab6edc4e1c487c9fff838ac1ad970c	E3	M4	C1	T0	P7	P5	false	false	true	false	false	G07	true	1.0	0	1	0.861101683	1	2.981325594	0	1	0.0	0.717070476	10	10	1.0	TRUSTED_RECOVERY_CONFIRMED
6	10001	A10	6	20260825T022353Z-wp9-r069-p0006-s10001-a10-22b4f4f0d7984151ab606a85c09a9e06	E3	M4	C0	T0	P2	P2	false	false	false	false	true	G05	true	0.5	0	0	30.0	0	30.0	0	1	0.0	29.846143053000002	10	10	1.0	RECOVERY_FAILED
7	10001	A24	7	20260825T041730Z-wp9-r069-p0007-s10001-a24-613c3c4c91af46aaaf142d7d094ef12a	E4	M2	C0	T0	P7	P4	false	false	false	false	false	G09	true	0.5	0	0	30.0	0	30.0	1	1	1.0	0.0	2	3	0.6666666666666666	RECOVERY_FAILED
8	10001	A14	8	20260825T042633Z-wp9-r069-p0008-s10001-a14-d9aeb43f19eb46b9a5a388511e3dbff5	E3	M4	C0	T0	P5	P5	false	false	false	true	false	G05	true	1.0	0	1	0.835180442	1	3.084958223	0	1	0.0	0.676246884	10	10	1.0	TRUSTED_RECOVERY_CONFIRMED
9	10001	A23	9	20260825T044944Z-wp9-r069-p0009-s10001-a23-7d72ea8b5b8e489eb253c2c406668468	E4	M2	C0	T0	P4	P4	false	false	false	false	false	G09	true	0.5	0	0	30.0	0	30.0	1	1	1.0	0.0	2	3	0.6666666666666666	RECOVERY_FAILED
10	10001	A21	10	20260825T051125Z-wp9-r069-p0010-s10001-a21-e439dc4ad1904cf1a76e48221750c86b	E2	M0	C0	T0	P7	P1	false	false	false	false	false	G08	false	1.0	0	1	1.8620005020000001	0	30.0	0	1	0.0	0.0	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
11	10001	A08	11	20260825T152746Z-wp9-r069-p0011-retry-s10001-a08-5cc4b7a41ae84d1c92bc1c757acbe86d	E1	M2	C0	T1	P2	P2	false	false	false	false	true	G04	true	0.5	0	1	4.055040301	0	30.0	0	1	0.0	5.15778455	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
12	10001	A03	12	20260825T154726Z-wp9-r069-p0012-s10001-a03-e6754279c097412f89fee46b24bebd39	E1	M2	C0	T0	P1	P1	false	true	false	false	false	G02	true	0.5	0	1	4.068841276000001	0	30.0	0	1	0.0	5.223336513	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
13	10001	A05	13	20260825T155202Z-wp9-r069-p0013-s10001-a05-8e8f2395248a4d06ad64d3715eea807e	E1	M4	C0	T0	P1	P1	false	true	false	false	false	G03	true	0.5	0	1	4.60443378	0	30.0	0	1	0.0	5.655023922	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
14	10001	A02	14	20260825T155633Z-wp9-r069-p0014-s10001-a02-0d7c8381dfd64aaaa481302e418a9157	E1	M0	C0	T0	P7	P1	false	true	false	false	false	G01	true	0.5	0	1	4.691377772	0	30.0	0	1	0.0	5.526060298	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
