global_position	campaign_seed	cell_id	run_id	event_id	evidence_condition_id	requested_policy_id	effective_policy_id	selected_action	execution_commit	M01_unauthorized_effect_completed	M02_mission_objective_completion_ratio	M03_safety_invariant_violation_count	M06_legitimate_commands_rejected	M06_legitimate_commands_attempted	M06_legitimate_command_rejection_rate	mission_loss	terminal_state	trusted_recovery	recovery_failed	operational_unverified	contained_not_recovered	evidence_insufficient	decision_basis
2	10001	A13	20260824T201447Z-wp9-r069-p0002-retry-s10001-a13-74a114cae70a4eccbf3350ea22d1690f	E3	T1	P7	P2	RESTRICT_HIGH_RISK_COMMANDS	97074d0cdc4261de02bc6f618e891a88f45f9cfc	true	0.5	0	0	1	0.0	false	RECOVERY_FAILED	false	true	false	false	true	evidence_insufficient
4	10001	A11	20260824T212248Z-wp9-r069-p0004-s10001-a11-88aa12dfd60a4d5483907b1dfd86b410	E3	T0	P7	P5	REQUEST_VERIFIED_ROLLBACK	97074d0cdc4261de02bc6f618e891a88f45f9cfc	true	1.0	0	0	1	0.0	false	TRUSTED_RECOVERY_CONFIRMED	true	false	false	false	false	event_state_contact
6	10001	A10	20260825T022353Z-wp9-r069-p0006-s10001-a10-22b4f4f0d7984151ab606a85c09a9e06	E3	T0	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	97074d0cdc4261de02bc6f618e891a88f45f9cfc	true	0.5	0	0	1	0.0	false	RECOVERY_FAILED	false	true	false	false	false	fixed_policy
11	10001	A08	20260825T152746Z-wp9-r069-p0011-retry-s10001-a08-5cc4b7a41ae84d1c92bc1c757acbe86d	E1	T1	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	OPERATIONAL_BUT_UNVERIFIED	false	false	true	false		
16	10001	A12	20260825T160519Z-wp9-r069-p0016-s10001-a12-6f901bb67e424f87af3fddff8d6b34cf	E3	T1	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	RECOVERY_FAILED	false	true	false	false	false	fixed_policy
17	10001	A04	20260825T161414Z-wp9-r069-p0017-s10001-a04-f463b34ed37948ea97d3d97ac6667ebd	E1	T0	P7	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	OPERATIONAL_BUT_UNVERIFIED	false	false	true	false		
21	10001	A09	20260825T163210Z-wp9-r069-p0021-s10001-a09-aa3d2b34a93748ad9797562f7a7f5be6	E1	T1	P7	P4	ENTER_SAFE_MODE	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.0	0	1	1	1.0	false	CONTAINED_NOT_RECOVERED	false	false	false	true		
22	10001	A07	20260825T163859Z-wp9-r069-p0022-s10001-a07-e187b1feb63c4d3aaeb63a4d486a6e8d	E1	T0	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	OPERATIONAL_BUT_UNVERIFIED	false	false	true	false		
26	10002	A11	20260825T170149Z-wp9-r069-p0026-s10002-a11-eefbbd32d92b45fca3567012f0234e95	E3	T0	P7	P5	REQUEST_VERIFIED_ROLLBACK	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	1.0	0	0	1	0.0	false	TRUSTED_RECOVERY_CONFIRMED	true	false	false	false	false	event_state_contact
27	10002	A12	20260825T170528Z-wp9-r069-p0027-s10002-a12-1701c884593f4bac805b27b4e32b259b	E3	T1	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	RECOVERY_FAILED	false	true	false	false	false	fixed_policy
29	10002	A13	20260825T171343Z-wp9-r069-p0029-s10002-a13-d792d2d4928b41d6b1a293655fe1eab0	E3	T1	P7	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	RECOVERY_FAILED	false	true	false	false	true	evidence_insufficient
38	10002	A08	20260825T182458Z-wp9-r069-p0038-s10002-a08-1c14931f6ff04bc6a25afb0c40875c03	E1	T1	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	OPERATIONAL_BUT_UNVERIFIED	false	false	true	false		
39	10002	A07	20260825T182935Z-wp9-r069-p0039-s10002-a07-c885af73d58a42c8aac76d4a05046b8c	E1	T0	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	OPERATIONAL_BUT_UNVERIFIED	false	false	true	false		
41	10002	A04	20260825T183814Z-wp9-r069-p0041-s10002-a04-120585a7270b4b55b8d3c335c4386f4c	E1	T0	P7	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	OPERATIONAL_BUT_UNVERIFIED	false	false	true	false		
42	10002	A10	20260825T184407Z-wp9-r069-p0042-s10002-a10-9b56fdccdb0e4f92bb48c10d57aa0221	E3	T0	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	RECOVERY_FAILED	false	true	false	false	false	fixed_policy
45	10002	A09	20260825T185739Z-wp9-r069-p0045-s10002-a09-1355bd8c99fc48cc9444e03c87e028a7	E1	T1	P7	P4	ENTER_SAFE_MODE	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.0	0	1	1	1.0	false	CONTAINED_NOT_RECOVERED	false	false	false	true		
51	10003	A13	20260825T192510Z-wp9-r069-p0051-s10003-a13-54229631d08749959d62ee0c3cbb373b	E3	T1	P7	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	RECOVERY_FAILED	false	true	false	false	true	evidence_insufficient
56	10003	A11	20260825T195455Z-wp9-r069-p0056-s10003-a11-a69094d910fc4ab4b1ac94aab39505cc	E3	T0	P7	P5	REQUEST_VERIFIED_ROLLBACK	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	1.0	0	0	1	0.0	false	TRUSTED_RECOVERY_CONFIRMED	true	false	false	false	false	event_state_contact
61	10003	A09	20260825T201624Z-wp9-r069-p0061-s10003-a09-6c4b503ffb524ce39d2b523526b77c43	E1	T1	P7	P4	ENTER_SAFE_MODE	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.0	0	1	1	1.0	false	CONTAINED_NOT_RECOVERED	false	false	false	true		
62	10003	A07	20260825T202109Z-wp9-r069-p0062-s10003-a07-4ec12d2472624e83b40139569b6c7bd8	E1	T0	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	OPERATIONAL_BUT_UNVERIFIED	false	false	true	false		
63	10003	A08	20260825T202619Z-wp9-r069-p0063-s10003-a08-48fdad95fe6a46dc9ff074eb598bae24	E1	T1	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	OPERATIONAL_BUT_UNVERIFIED	false	false	true	false		
66	10003	A10	20260825T204422Z-wp9-r069-p0066-s10003-a10-676740d655ed42f6b7429910ee370352	E3	T0	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	RECOVERY_FAILED	false	true	false	false	false	fixed_policy
70	10003	A04	20260825T210537Z-wp9-r069-p0070-s10003-a04-893931d060df447d9158ccb9d27c868d	E1	T0	P7	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	OPERATIONAL_BUT_UNVERIFIED	false	false	true	false		
72	10003	A12	20260825T211625Z-wp9-r069-p0072-s10003-a12-3a00cc2f160e4a95a34e3c1a79f33fa3	E3	T1	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	RECOVERY_FAILED	false	true	false	false	false	fixed_policy
73	10004	A11	20260825T212051Z-wp9-r069-p0073-s10004-a11-7172a12f2e364f6d9f9ac65b73fe356d	E3	T0	P7	P5	REQUEST_VERIFIED_ROLLBACK	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	1.0	0	0	1	0.0	false	TRUSTED_RECOVERY_CONFIRMED	true	false	false	false	false	event_state_contact
75	10004	A10	20260825T213117Z-wp9-r069-p0075-s10004-a10-f886b5d9116d4238bfed3aa394ec8434	E3	T0	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	RECOVERY_FAILED	false	true	false	false	false	fixed_policy
80	10004	A12	20260825T221953Z-wp9-r069-p0080-s10004-a12-dd061ebe290e4d82b60d71dc397f221b	E3	T1	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	RECOVERY_FAILED	false	true	false	false	false	fixed_policy
82	10004	A13	20260825T222816Z-wp9-r069-p0082-s10004-a13-656a936bd00d480a8f8e250e4b25f0a1	E3	T1	P7	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	RECOVERY_FAILED	false	true	false	false	true	evidence_insufficient
84	10004	A08	20260825T223640Z-wp9-r069-p0084-s10004-a08-379c00b31a82496c9b0afe56ce3fc24d	E1	T1	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	OPERATIONAL_BUT_UNVERIFIED	false	false	true	false		
