metric,level,numerator,denominator,value_or_fraction,interpretation
overall_finite,all,17640,65376,"245/908 = 0.269824","finite modeled minimum-rate threshold exists"
overall_nonfinite,all,47736,65376,"0.730176","no finite rate completes under frozen windows/horizon"
finite_threshold_bps,minimum,,,48,"modeled threshold only"
finite_threshold_bps,median,,,345,"modeled threshold only"
finite_threshold_bps,maximum,,,57727,"modeled threshold only"
horizon_finite,6h,1152,21792,"12/227 = 0.052863","extension-only elapsed-time horizon"
horizon_finite,12h,4488,21792,"187/908 = 0.205947","extension-only elapsed-time horizon"
horizon_finite,24h,12000,21792,"125/227 = 0.550661","extension-only elapsed-time horizon"
disruption_finite,A0,6624,16344,"92/227 = 0.405286","model-specific"
disruption_finite,A1,6624,16344,"92/227 = 0.405286","model-specific"
disruption_finite,A2,2196,16344,"61/454 = 0.134361","model-specific"
disruption_finite,A3,2196,16344,"61/454 = 0.134361","model-specific"
policy_finite,P0,4410,16344,"245/908 = 0.269824","identical policy classification"
policy_finite,P1,4410,16344,"245/908 = 0.269824","identical policy classification"
policy_finite,P2,4410,16344,"245/908 = 0.269824","identical policy classification"
policy_finite,P3,4410,16344,"245/908 = 0.269824","identical policy classification"
profile_finite,PROFILE_512_44,5880,21792,"245/908 = 0.269824","same finite classification; burden differs"
profile_finite,PROFILE_768_65,5880,21792,"245/908 = 0.269824","same finite classification; burden differs"
profile_finite,PROFILE_1024_87,5880,21792,"245/908 = 0.269824","same finite classification; burden differs"
p3_p1,both_finite_equal_threshold,4410,16344,"0 bps difference in all both-finite cases","exact matched threshold null"
profile_ordering,preserved,21792,21792,"100%","matched modeled burden ordering"
