trace_selection_order,norad_cat_id,ground_station,raw_observation_count,merged_window_count,gap_count,duration_min_seconds,duration_median_seconds,duration_max_seconds,gap_min_seconds,gap_median_seconds,gap_max_seconds,gap_mean_seconds,gap_population_sd_seconds,gap_coefficient_of_variation,gap_burstiness_index
1,63235,4242,25,25,24,329,412,438,5271,84337/2,90330,342831/8,17265.994834048080,0.402903934219,-0.425614364046
2,27844,766,25,25,24,261,509,539,5508,69491/2,113901,891655/24,25075.499892789055,0.674938173875,-0.194073925351
3,60243,1864,25,25,24,180,180,180,5705,165229/2,171310,244486/3,50080.590148668265,0.614520955989,-0.238757535219
4,39133,1864,21,21,20,180,180,180,5641,90551,345257,441949/4,87484.744791806417,0.791808509958,-0.116190702793
5,46506,1861,25,25,24,181,254,281,37595,92791/2,174333,1374269/24,30040.163961463280,0.524616312436,-0.311805457994
6,63235,3623,25,25,24,331,416,439,5271,44946,90332,278371/6,17312.770476025943,0.373158924084,-0.456495650228
7,40014,4451,25,25,24,180,180,180,42339,42875,133542,517631/8,28216.772144879394,0.436090916423,-0.392669487097
8,41340,71,20,20,19,203,271,323,5487,86045,504719,2405924/19,120248.652796180627,0.949624511467,-0.025838559290
9,61736,4320,24,24,23,230,1207/2,645,5413,84440,345693,2405937/23,89829.348059179635,0.858740276807,-0.075997558645
10,49263,2173,25,25,24,246,335,391,5000,31165,86311,114215/4,23522.128787324926,0.823784224045,-0.096620956378
11,40014,4460,25,25,24,378,440,464,38016,170227/2,170756,1803497/24,35367.245115218270,0.470648901975,-0.359943897768
12,27844,812,25,25,24,189,238,257,34891,134405/2,169758,561031/8,32048.207729804616,0.456990187420,-0.372692841221
13,59809,4497,25,25,24,180,253,268,37726,92369/2,258520,672745/8,65654.171549562447,0.780731736983,-0.123133798575
14,48606,6,20,20,19,187,269,418,30,84523,683981,2138452/19,147916.911424479590,1.314231657790,0.135782282959
15,61790,91,23,23,22,238,327,335,33211,47093,558342,2458893/22,149197.325988801414,1.334885727746,0.143427031039
16,62628,3020,25,25,24,184,270,471,39637,264855/2,172531,2239013/24,50425.773348043596,0.540514307131,-0.298267721852
17,27939,812,23,23,22,183,202,209,39533,48057,306217,1250485/11,94599.567993308834,0.832153322852,-0.091611698134
18,63242,1156,25,25,24,300,400,440,5260,38000,46440,403715/12,15059.434052880459,0.447625697917,-0.381572600485
19,62709,4595,25,25,24,190,361,771,4998,44227,173161,705683/12,44618.490437370494,0.758728615042,-0.137185113664
20,61763,1861,20,20,19,188,234,255,37211,88813,345166,2328808/19,99580.384496917949,0.812444523310,-0.103482051052
