dimension,stratum,P1_successes,P1_total,P1_percent,P3_successes,P3_total,P3_percent,P3_minus_P1_percentage_points
regime,R1_FREQUENT_SMALL,171,216,79.166667,171,216,79.166667,0.000000
regime,R2_PERIODIC_MEDIUM,173,216,80.092593,173,216,80.092593,0.000000
regime,R3_SPARSE_LARGE,166,216,76.851852,166,216,76.851852,0.000000
regime,R4_CLUSTERED_MEDIUM,125,216,57.870370,125,216,57.870370,0.000000
profile,PROFILE_512_44,270,288,93.750000,270,288,93.750000,0.000000
profile,PROFILE_768_65,187,288,64.930556,187,288,64.930556,0.000000
profile,PROFILE_1024_87,178,288,61.805556,178,288,61.805556,0.000000
disruption,A0_NONE,163,216,75.462963,163,216,75.462963,0.000000
disruption,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,160,216,74.074074,160,216,74.074074,0.000000
disruption,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,156,216,72.222222,156,216,72.222222,0.000000
disruption,A3_STALE_EPOCH_REPLAY_AT_COMMIT,156,216,72.222222,156,216,72.222222,0.000000
deadline,D12,94,288,32.638889,94,288,32.638889,0.000000
deadline,D24,253,288,87.847222,253,288,87.847222,0.000000
deadline,D48,288,288,100.000000,288,288,100.000000,0.000000
