dimension,stratum,finite,total,fraction,decimal_6
overall,all,17640,65376,245/908,0.269824
horizon,6h,1152,21792,12/227,0.052863
horizon,12h,4488,21792,187/908,0.205947
horizon,24h,12000,21792,125/227,0.550661
disruption,A0_NONE,6624,16344,92/227,0.405286
disruption,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,6624,16344,92/227,0.405286
disruption,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,2196,16344,61/454,0.134361
disruption,A3_STALE_EPOCH_REPLAY_AT_COMMIT,2196,16344,61/454,0.134361
policy,P0_HARD_CUTOVER,4410,16344,245/908,0.269824
policy,P1_STAGED_CUTOVER,4410,16344,245/908,0.269824
policy,P2_HYBRID_OVERLAP,4410,16344,245/908,0.269824
policy,P3_CONTACT_AWARE_STAGED,4410,16344,245/908,0.269824
profile,PROFILE_512_44,5880,21792,245/908,0.269824
profile,PROFILE_768_65,5880,21792,245/908,0.269824
profile,PROFILE_1024_87,5880,21792,245/908,0.269824
