citation_or_source,current_manuscript_use,verification_status,repository_bib_status,remaining_action
"Bakirtzis et al. — Mission Aware Cyber-Physical Security — DOI 10.1002/sys.70018","Discussion 5.2 theoretical foundation","VERIFIED publisher record; first online 2025-12-10; journal volume 29 (2026)",PRESENT,"Retain 2026 issue-year convention unless target journal requires online-first date"
"NIST SP 800-160 Vol. 2 Rev. 1 — Developing Cyber-Resilient Systems","Discussion cyber-resilience framing","VERIFIED NIST record; December 2021",MISSING,"Add complete BibTeX during G6"
"Chunawala — An incident response playbook for satellite operations on AWS Part-2","Discussion 5.3 contemporary operational context","VERIFIED AWS Public Sector Blog; 2026-06-19",MISSING,"Add web citation/access date during G6; use as practice context not peer-reviewed experimental evidence"
"Liu and Sun — Temporal Risk on Satellites — arXiv:2608.20575","Discussion 5.2 temporal/mission context adjacency","VERIFIED arXiv; 2026-08-20",MISSING,"Add preprint BibTeX during G6"
"Le, Tran, and Le — TinyML-Driven Cybersecurity for Autonomous Spacecraft — arXiv:2606.05779","Discussion 5.6 detector-focused adjacency","VERIFIED arXiv; 2026-06-04",MISSING,"Add preprint BibTeX during G6"
"Mattar et al. — What is Cybersecurity in Space? — arXiv:2509.05496","Discussion 5.6 broad research-gap context","VERIFIED arXiv; 2025-09-05",MISSING,"Add preprint BibTeX during G6"
"Sarri et al. — The JUICE Spacecraft System Design — DOI 10.1007/s11214-026-01289-4","Discussion/G2 spacecraft FDIR/contact-delay prior art","VERIFIED Springer; Space Science Reviews 222 article 35; 2026-04-01",MISSING,"Add article BibTeX during G6"
"Wanninger — Knowledge-based satellite failure detection isolation and recovery — DOI 10.1007/s12567-025-00651-6","Discussion/G2 spacecraft FDIR prior art","VERIFIED publisher record; online-first 2025 / 2026 journal volume convention",PRESENT,"Normalize year consistently with selected journal style during final reference pass"
"Thangavel et al. — Artificial Intelligence for Trusted Autonomous Satellite Operations — DOI 10.1016/j.paerosci.2023.100960","Trusted-autonomy prior art","DOI/metadata already retained in repository literature register",PRESENT,"Complete author list if target style requires rather than 'others'"
"SPARTA Cyber-safe Mode CM0044","Discussion/G2 cyber-safe/trusted recovery prior art","VERIFIED public SPARTA resource",MISSING,"Add web reference/access date during G6"
"NASA NOS3 / cFS","Methods/testbed context","Repository references present",PRESENT,"Refresh access date only if target journal requires"
"CuCD-ID / ESA anomaly / OPS-SAT-AD datasets","Introduction/related-work context as applicable","Repository literature/data register contains identifiers and license notes",PRESENT,"Do not use raw third-party data/license claims beyond verified selected-record terms; normalize metadata during WP11/reference pass"
