cell_id,contact,evidence,persistence,policy,onset_phases,mean_unsafe_permissive_epoch_rate,mean_unsafe_qualified_epoch_rate,mean_unsafe_qualified_exposure_s,mean_unsafe_qualified_episode_count,mean_cache_unsafe_qualified_epochs,mean_v5_affected_unsafe_qualified_epochs,mean_protective_epoch_rate,mean_action_transition_count,trajectories_with_any_unsafe_qualification,trajectories_with_v5_affected_unsafe_qualification
K0_V0_NONE_S2_B0_FAIL_CLOSED,K0,V0,NONE,S2_B0_FAIL_CLOSED,46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
K0_V0_NONE_S2_B2_RISK_THRESHOLD,K0,V0,NONE,S2_B2_RISK_THRESHOLD,46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0
K0_V0_NONE_S2_S1_EVIDENCE_AWARE,K0,V0,NONE,S2_S1_EVIDENCE_AWARE,46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
K0_V4_ONE_SHOT_S2_B0_FAIL_CLOSED,K0,V4,ONE_SHOT,S2_B0_FAIL_CLOSED,46,0.925261950232702,0.0,0.0,0.0,0.0,0.0,0.07473804976729803,1.0,0,0
K0_V4_ONE_SHOT_S2_B2_RISK_THRESHOLD,K0,V4,ONE_SHOT,S2_B2_RISK_THRESHOLD,46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0
K0_V4_ONE_SHOT_S2_S1_EVIDENCE_AWARE,K0,V4,ONE_SHOT,S2_S1_EVIDENCE_AWARE,46,0.925261950232702,0.0,0.0,0.0,0.0,0.0,0.07473804976729803,1.0,0,0
K0_V4_PERSISTENT_S2_B0_FAIL_CLOSED,K0,V4,PERSISTENT,S2_B0_FAIL_CLOSED,46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0
K0_V4_PERSISTENT_S2_B2_RISK_THRESHOLD,K0,V4,PERSISTENT,S2_B2_RISK_THRESHOLD,46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0
K0_V4_PERSISTENT_S2_S1_EVIDENCE_AWARE,K0,V4,PERSISTENT,S2_S1_EVIDENCE_AWARE,46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0
K0_V5_ONE_SHOT_S2_B0_FAIL_CLOSED,K0,V5,ONE_SHOT,S2_B0_FAIL_CLOSED,46,1.0,0.07473804976729803,5.0,1.0,0.0,1.0,0.0,0.0,46,46
K0_V5_ONE_SHOT_S2_B2_RISK_THRESHOLD,K0,V5,ONE_SHOT,S2_B2_RISK_THRESHOLD,46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0
K0_V5_ONE_SHOT_S2_S1_EVIDENCE_AWARE,K0,V5,ONE_SHOT,S2_S1_EVIDENCE_AWARE,46,1.0,0.07473804976729803,5.0,1.0,0.0,1.0,0.0,0.0,46,46
K0_V5_PERSISTENT_S2_B0_FAIL_CLOSED,K0,V5,PERSISTENT,S2_B0_FAIL_CLOSED,46,1.0,1.0,122.5,1.0,0.0,24.5,0.0,0.0,46,46
K0_V5_PERSISTENT_S2_B2_RISK_THRESHOLD,K0,V5,PERSISTENT,S2_B2_RISK_THRESHOLD,46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0
K0_V5_PERSISTENT_S2_S1_EVIDENCE_AWARE,K0,V5,PERSISTENT,S2_S1_EVIDENCE_AWARE,46,1.0,1.0,122.5,1.0,0.0,24.5,0.0,0.0,46,46
K4_V0_NONE_S2_B0_FAIL_CLOSED,K4,V0,NONE,S2_B0_FAIL_CLOSED,46,0.5113109299309683,0.0027038489343633663,0.32608695652173914,0.06521739130434782,0.06521739130434782,0.0,0.4886892977651613,3.108695652173913,3,0
K4_V0_NONE_S2_B2_RISK_THRESHOLD,K4,V0,NONE,S2_B2_RISK_THRESHOLD,46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.108695652173913,0,0
K4_V0_NONE_S2_S1_EVIDENCE_AWARE,K4,V0,NONE,S2_S1_EVIDENCE_AWARE,46,0.471699129145564,0.0,0.0,0.0,0.0,0.0,0.5283008708544352,4.304347826086956,0,0
K4_V4_ONE_SHOT_S2_B0_FAIL_CLOSED,K4,V4,ONE_SHOT,S2_B0_FAIL_CLOSED,46,0.4339946367740855,0.0027038489343633663,0.32608695652173914,0.06521739130434782,0.06521739130434782,0.0,0.5660053632259145,3.3260869565217392,3,0
K4_V4_ONE_SHOT_S2_B2_RISK_THRESHOLD,K4,V4,ONE_SHOT,S2_B2_RISK_THRESHOLD,46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3260869565217392,0,0
K4_V4_ONE_SHOT_S2_S1_EVIDENCE_AWARE,K4,V4,ONE_SHOT,S2_S1_EVIDENCE_AWARE,46,0.3969608190362126,0.0,0.0,0.0,0.0,0.0,0.6030391809637874,4.456521739130435,0,0
K4_V4_PERSISTENT_S2_B0_FAIL_CLOSED,K4,V4,PERSISTENT,S2_B0_FAIL_CLOSED,46,0.0027038489343633663,0.0027038489343633663,0.32608695652173914,0.06521739130434782,0.06521739130434782,0.0,0.9972961510656367,0.06521739130434782,3,0
K4_V4_PERSISTENT_S2_B2_RISK_THRESHOLD,K4,V4,PERSISTENT,S2_B2_RISK_THRESHOLD,46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06521739130434782,0,0
K4_V4_PERSISTENT_S2_S1_EVIDENCE_AWARE,K4,V4,PERSISTENT,S2_S1_EVIDENCE_AWARE,46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06521739130434782,0,0
K4_V5_ONE_SHOT_S2_B0_FAIL_CLOSED,K4,V5,ONE_SHOT,S2_B0_FAIL_CLOSED,46,0.5113109299309683,0.08002028801902758,5.6521739130434785,1.065217391304348,0.06521739130434782,1.065217391304348,0.4886892977651613,3.108695652173913,46,46
K4_V5_ONE_SHOT_S2_B2_RISK_THRESHOLD,K4,V5,ONE_SHOT,S2_B2_RISK_THRESHOLD,46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.108695652173913,0,0
K4_V5_ONE_SHOT_S2_S1_EVIDENCE_AWARE,K4,V5,ONE_SHOT,S2_S1_EVIDENCE_AWARE,46,0.471699129145564,0.07473804976729803,5.0,1.0,0.0,1.0,0.5283008708544352,4.304347826086956,46,46
