experiment_id,trajectory_id,cell_id,contact,evidence,persistence,policy,onset_s,post_onset_epochs,affected_received_records,unsafe_permissive_epochs,unsafe_permissive_epoch_rate,unsafe_qualified_epochs,unsafe_qualified_epoch_rate,unsafe_qualified_exposure_s,unsafe_qualified_episode_count,cache_unsafe_qualified_epochs,v5_affected_unsafe_qualified_epochs,protective_epochs,protective_epoch_rate,action_transition_count
S3-K4E-001,S3-K4E-001:K0_V0_NONE_S2_B0_FAIL_CLOSED:T010,K0_V0_NONE_S2_B0_FAIL_CLOSED,K0,V0,NONE,S2_B0_FAIL_CLOSED,10,47,0,47,1.0,0,0.0,0,0,0,0,0,0.0,0
S3-K4E-001,S3-K4E-001:K0_V0_NONE_S2_B0_FAIL_CLOSED:T015,K0_V0_NONE_S2_B0_FAIL_CLOSED,K0,V0,NONE,S2_B0_FAIL_CLOSED,15,46,0,46,1.0,0,0.0,0,0,0,0,0,0.0,0
S3-K4E-001,S3-K4E-001:K0_V0_NONE_S2_B0_FAIL_CLOSED:T020,K0_V0_NONE_S2_B0_FAIL_CLOSED,K0,V0,NONE,S2_B0_FAIL_CLOSED,20,45,0,45,1.0,0,0.0,0,0,0,0,0,0.0,0
S3-K4E-001,S3-K4E-001:K0_V0_NONE_S2_B0_FAIL_CLOSED:T025,K0_V0_NONE_S2_B0_FAIL_CLOSED,K0,V0,NONE,S2_B0_FAIL_CLOSED,25,44,0,44,1.0,0,0.0,0,0,0,0,0,0.0,0
S3-K4E-001,S3-K4E-001:K0_V0_NONE_S2_B0_FAIL_CLOSED:T030,K0_V0_NONE_S2_B0_FAIL_CLOSED,K0,V0,NONE,S2_B0_FAIL_CLOSED,30,43,0,43,1.0,0,0.0,0,0,0,0,0,0.0,0
S3-K4E-001,S3-K4E-001:K0_V0_NONE_S2_B0_FAIL_CLOSED:T035,K0_V0_NONE_S2_B0_FAIL_CLOSED,K0,V0,NONE,S2_B0_FAIL_CLOSED,35,42,0,42,1.0,0,0.0,0,0,0,0,0,0.0,0
S3-K4E-001,S3-K4E-001:K0_V0_NONE_S2_B0_FAIL_CLOSED:T040,K0_V0_NONE_S2_B0_FAIL_CLOSED,K0,V0,NONE,S2_B0_FAIL_CLOSED,40,41,0,41,1.0,0,0.0,0,0,0,0,0,0.0,0
S3-K4E-001,S3-K4E-001:K0_V0_NONE_S2_B0_FAIL_CLOSED:T045,K0_V0_NONE_S2_B0_FAIL_CLOSED,K0,V0,NONE,S2_B0_FAIL_CLOSED,45,40,0,40,1.0,0,0.0,0,0,0,0,0,0.0,0
S3-K4E-001,S3-K4E-001:K0_V0_NONE_S2_B0_FAIL_CLOSED:T050,K0_V0_NONE_S2_B0_FAIL_CLOSED,K0,V0,NONE,S2_B0_FAIL_CLOSED,50,39,0,39,1.0,0,0.0,0,0,0,0,0,0.0,0
S3-K4E-001,S3-K4E-001:K0_V0_NONE_S2_B0_FAIL_CLOSED:T055,K0_V0_NONE_S2_B0_FAIL_CLOSED,K0,V0,NONE,S2_B0_FAIL_CLOSED,55,38,0,38,1.0,0,0.0,0,0,0,0,0,0.0,0
