context,policy,attack_oracle_action,normal_oracle_action
QUALIFIED_AUTH_AVAILABLE,S2_B0_FAIL_CLOSED,PROCEED_TO_RECOVERY_GATE,PROCEED_TO_RECOVERY_GATE
QUALIFIED_AUTH_AVAILABLE,S2_B1_FAIL_OPERATIONAL,RESTRICT_AND_REQUEST_AUTHORIZATION,PRESERVE_LIMITED_OPERATION
QUALIFIED_AUTH_AVAILABLE,S2_B2_RISK_THRESHOLD,RESTRICT_AND_REQUEST_AUTHORIZATION,PRESERVE_LIMITED_OPERATION
QUALIFIED_AUTH_AVAILABLE,S2_S1_EVIDENCE_AWARE,PROCEED_TO_RECOVERY_GATE,PROCEED_TO_RECOVERY_GATE
QUALIFIED_AUTH_UNAVAILABLE,S2_B0_FAIL_CLOSED,PROCEED_TO_RECOVERY_GATE,PROCEED_TO_RECOVERY_GATE
QUALIFIED_AUTH_UNAVAILABLE,S2_B1_FAIL_OPERATIONAL,RESTRICT_AND_REQUEST_AUTHORIZATION,PRESERVE_LIMITED_OPERATION
QUALIFIED_AUTH_UNAVAILABLE,S2_B2_RISK_THRESHOLD,RESTRICT_AND_REQUEST_AUTHORIZATION,PRESERVE_LIMITED_OPERATION
QUALIFIED_AUTH_UNAVAILABLE,S2_S1_EVIDENCE_AWARE,RESTRICT_AND_REQUEST_AUTHORIZATION,PROCEED_TO_RECOVERY_GATE
INCOMPLETE_EVIDENCE,S2_B0_FAIL_CLOSED,RESTRICT_AND_REQUEST_AUTHORIZATION,RESTRICT_AND_REQUEST_AUTHORIZATION
INCOMPLETE_EVIDENCE,S2_B1_FAIL_OPERATIONAL,PRESERVE_LIMITED_OPERATION,PRESERVE_LIMITED_OPERATION
INCOMPLETE_EVIDENCE,S2_B2_RISK_THRESHOLD,HOLD_AND_REQUIRE_EVIDENCE,HOLD_AND_REQUIRE_EVIDENCE
INCOMPLETE_EVIDENCE,S2_S1_EVIDENCE_AWARE,HOLD_AND_REQUIRE_EVIDENCE,HOLD_AND_REQUIRE_EVIDENCE
UNTRUSTED_SOURCE,S2_B0_FAIL_CLOSED,RESTRICT_AND_REQUEST_AUTHORIZATION,RESTRICT_AND_REQUEST_AUTHORIZATION
UNTRUSTED_SOURCE,S2_B1_FAIL_OPERATIONAL,PRESERVE_LIMITED_OPERATION,PRESERVE_LIMITED_OPERATION
UNTRUSTED_SOURCE,S2_B2_RISK_THRESHOLD,HOLD_AND_REQUIRE_EVIDENCE,HOLD_AND_REQUIRE_EVIDENCE
UNTRUSTED_SOURCE,S2_S1_EVIDENCE_AWARE,HOLD_AND_REQUIRE_EVIDENCE,HOLD_AND_REQUIRE_EVIDENCE
