observation_id,profile,policy,regime,disruption,phase_offset,deadline,trusted_recovery_success,recovery_completion_slot,contacts_consumed,cryptographic_bytes_transferred,transition_attempts,legacy_exposure_slots,control_unavailable_slots,dual_epoch_overlap_slots,rollback_invoked,stale_epoch_acceptance,terminal_state,proof_accepted_slot,commit_slot
S8-0001,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A0_NONE,0,12,1,8,4,12560,1,0,5,0,0,0,TRUST_RESTORED,2,5
S8-0002,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A0_NONE,0,24,1,8,4,12560,1,0,5,0,0,0,TRUST_RESTORED,2,5
S8-0003,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A0_NONE,0,48,1,8,4,12560,1,0,5,0,0,0,TRUST_RESTORED,2,5
S8-0004,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A0_NONE,1,12,1,10,4,12560,1,0,7,0,0,0,TRUST_RESTORED,4,7
S8-0005,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A0_NONE,1,24,1,10,4,12560,1,0,7,0,0,0,TRUST_RESTORED,4,7
S8-0006,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A0_NONE,1,48,1,10,4,12560,1,0,7,0,0,0,TRUST_RESTORED,4,7
S8-0007,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A0_NONE,2,12,1,9,4,12560,1,0,6,0,0,0,TRUST_RESTORED,3,6
S8-0008,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A0_NONE,2,24,1,9,4,12560,1,0,6,0,0,0,TRUST_RESTORED,3,6
S8-0009,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A0_NONE,2,48,1,9,4,12560,1,0,6,0,0,0,TRUST_RESTORED,3,6
S8-0010,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A0_NONE,3,12,1,11,4,12560,1,0,8,0,0,0,TRUST_RESTORED,5,8
S8-0011,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A0_NONE,3,24,1,11,4,12560,1,0,8,0,0,0,TRUST_RESTORED,5,8
S8-0012,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A0_NONE,3,48,1,11,4,12560,1,0,8,0,0,0,TRUST_RESTORED,5,8
S8-0013,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A0_NONE,4,12,1,10,4,12560,1,0,7,0,0,0,TRUST_RESTORED,4,7
S8-0014,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A0_NONE,4,24,1,10,4,12560,1,0,7,0,0,0,TRUST_RESTORED,4,7
S8-0015,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A0_NONE,4,48,1,10,4,12560,1,0,7,0,0,0,TRUST_RESTORED,4,7
S8-0016,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A0_NONE,5,12,1,9,4,12560,1,0,6,0,0,0,TRUST_RESTORED,3,6
S8-0017,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A0_NONE,5,24,1,9,4,12560,1,0,6,0,0,0,TRUST_RESTORED,3,6
S8-0018,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A0_NONE,5,48,1,9,4,12560,1,0,6,0,0,0,TRUST_RESTORED,3,6
S8-0019,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,0,12,1,8,4,14980,1,0,8,0,0,0,TRUST_RESTORED,5,8
S8-0020,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,0,24,1,8,4,14980,1,0,8,0,0,0,TRUST_RESTORED,5,8
S8-0021,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,0,48,1,8,4,14980,1,0,8,0,0,0,TRUST_RESTORED,5,8
S8-0022,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,1,12,1,10,4,14980,1,0,10,0,0,0,TRUST_RESTORED,7,10
S8-0023,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,1,24,1,10,4,14980,1,0,10,0,0,0,TRUST_RESTORED,7,10
S8-0024,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,1,48,1,10,4,14980,1,0,10,0,0,0,TRUST_RESTORED,7,10
S8-0025,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,2,12,1,9,4,14980,1,0,9,0,0,0,TRUST_RESTORED,6,9
S8-0026,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,2,24,1,9,4,14980,1,0,9,0,0,0,TRUST_RESTORED,6,9
S8-0027,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,2,48,1,9,4,14980,1,0,9,0,0,0,TRUST_RESTORED,6,9
S8-0028,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,3,12,1,11,4,14980,1,0,11,0,0,0,TRUST_RESTORED,8,11
S8-0029,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,3,24,1,11,4,14980,1,0,11,0,0,0,TRUST_RESTORED,8,11
S8-0030,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,3,48,1,11,4,14980,1,0,11,0,0,0,TRUST_RESTORED,8,11
